,Linear Regression,AdaBoost Regressor,XGBoost Regressor,RandomForest Regressor
MSLE,0.0009808943263085637,0.00015060779421348212,0.00031492962251612066,0.00029532077846049166
Root MSLE,0.031319232530644225,0.012272236724146178,0.01774625657754673,0.01718489972215409
R2 Score,0.6552242171148208,0.9454202069116535,0.8854730500387895,0.8925797103724337
Accuracy(%),65.5224,94.542,88.5473,89.258
