,Linear Regression,AdaBoost Regressor,XGBoost Regressor,RandomForest Regressor
MSLE,0.0009808943263085637,0.00015209024235953906,0.00031492962251612066,0.0002953207784604918
Root MSLE,0.031319232530644225,0.012332487273844601,0.01774625657754673,0.017184899722154093
R2 Score,0.6552242171148208,0.9449189344690193,0.8854730500387895,0.8925797103724337
Accuracy(%),65.5224,94.4919,88.5473,89.258
