175000,berline,essence,9,automatique,blanc,CLASSE C ,11,MERCEDES-BENZ,58000.0
138000,berline,essence,10,automatique,gris anthracite,CLASSE C ,7,MERCEDES-BENZ,78500.0
0,4 x 4,essence,10,automatique,bleu,HS ,0,MG,99950.0
100900,4 x 4,essence,6,manuelle,blanc,2008 ,3,PEUGEOT,55000.0
46000,berline,essence,7,manuelle,noir,PASSAT ,5,VOLKSWAGEN,65000.0
132000,berline,essence,5,manuelle,noir,POLO ,6,VOLKSWAGEN,29500.0
147000,compacte,diesel,6,manuelle,gris anthracite,C4 ,9,CITROEN,34500.0
111000,compacte,essence,5,manuelle,noir,RIO ,7,KIA,37000.0
19000,berline,essence,10,automatique,blanc,SERIE 5 ,2,BMW,219000.0
89000,berline,essence,5,manuelle,bleu,GOLF 7 ,6,VOLKSWAGEN,59000.0
165000,4 x 4,diesel,16,automatique,bleu,TOUAREG ,16,VOLKSWAGEN,65900.0
195000,citadine,essence,7,automatique,gris argent,GOLF 5 ,14,VOLKSWAGEN,29900.0
130000,citadine,essence,7,manuelle,blanc,GOLF 7 ,8,VOLKSWAGEN,49900.0
148000,citadine,essence,6,automatique,gris argent,LEON ,7,SEAT,49500.0
192000,utilitaire,diesel,5,manuelle,blanc,DOBLO ,7,FIAT,21500.0
317000,citadine,essence,6,manuelle,beige,C4 ,11,CITROEN,21500.0
120000,citadine,essence,6,automatique,rouge,LEON ,6,SEAT,51500.0
212000,berline,diesel,8,manuelle,gris argent,CLASSE C ,14,MERCEDES-BENZ,45000.0
162000,coupE,essence,12,automatique,noir,CLASSE E ,11,MERCEDES-BENZ,78000.0
186000,citadine,diesel,10,manuelle,blanc,Q5 ,11,AUDI,85000.0
269000,berline,essence,9,automatique,noir,CLASSE E ,7,MERCEDES-BENZ,72500.0
102000,berline,essence,7,automatique,gris argent,CERATO ,8,KIA,34900.0
98000,berline,essence,5,manuelle,gris argent,YARIS ,4,TOYOTA,37000.0
178000,citadine,diesel,6,manuelle,noir,TOURAN ,8,VOLKSWAGEN,54000.0
133000,4 x 4,essence,8,automatique,beige,AGE ,5,KIA,76900.0
63000,berline,essence,6,manuelle,noir,FOCUS ,5,FORD,46500.0
72000,4 x 4,essence,7,manuelle,blanc,KADJAR ,5,RENAULT,65000.0
205000,citadine,essence,7,manuelle,marron,SERIE 1 ,14,BMW,33000.0
174000,coupE,essence,7,manuelle,beige,SERIE 3 ,11,BMW,54500.0
119000,citadine,essence,6,manuelle,marron,C4 ,10,CITROEN,33500.0
66000,citadine,essence,5,manuelle,blanc,I20 ,5,HYUNDAI,42900.0
198000,berline,essence,7,manuelle,beige,PASSAT ,10,VOLKSWAGEN,39900.0
171000,4 x 4,diesel,15,automatique,noir,ML ,15,MERCEDES-BENZ,54000.0
138000,citadine,essence,6,manuelle,blanc,C4 ,9,CITROEN,32500.0
142000,citadine,diesel,5,manuelle,blanc,RIO ,9,KIA,33500.0
10000,berline,essence,8,manuelle,noir,PASSAT ,1,VOLKSWAGEN,95000.0
83000,citadine,essence,6,manuelle,beige,LEON ,4,SEAT,59500.0
16000,4 x 4,essence,9,automatique,rouge,H6 ,1,HAVAL,100000.0
106000,citadine,essence,5,manuelle,rouge,FIESTA ,6,FORD,34000.0
90000,4 x 4,essence,9,automatique,gris argent,H6 ,4,HAVAL,69500.0
83000,berline,essence,5,manuelle,gris argent,301 ,3,PEUGEOT,28000.0
128000,citadine,essence,5,manuelle,noir,DS3 ,9,CITROEN,30000.0
10000,citadine,essence,5,automatique,bleu,SWIFT ,3,SUZUKI,42500.0
93000,pick up,essence,15,automatique,noir,HILUX ,5,TOYOTA,120000.0
119000,pick up,diesel,7,automatique,marron,ACTYON S ,8,SSANGYONG,42000.0
230000,citadine,essence,9,automatique,marron,DS5 ,7,CITROEN,41500.0
12000,citadine,essence,5,manuelle,blanc,RIO ,1,KIA,50000.0
183000,4 x 4,diesel,11,automatique,noir,PAJERO ,15,MITSUBISHI,46000.0
166000,berline,essence,7,manuelle,gris argent,SERIE 3 ,12,BMW,40000.0
111000,citadine,essence,5,manuelle,blanc,COOPER ,12,MINI,27900.0
8000,citadine,essence,6,manuelle,bleu,ARONA ,0,SEAT,65000.0
145000,citadine,essence,5,manuelle,gris argent,GOLF 7 ,8,VOLKSWAGEN,46000.0
156000,berline,essence,10,automatique,noir,OPTIMA ,7,KIA,44000.0
151000,citadine,essence,5,manuelle,bleu,FIESTA ,9,FORD,26500.0
14000,citadine,essence,6,automatique,noir,GOLF 7 ,1,VOLKSWAGEN,82000.0
230000,4 x 4,essence,31,automatique,noir,H2 ,18,HUMMER,120000.0
85000,citadine,essence,4,automatique,blanc,500 ,5,FIAT,36500.0
45000,coupE,essence,15,automatique,gris argent,A5 ,3,AUDI,220000.0
44000,utilitaire,diesel,5,manuelle,blanc,CADDY ,3,VOLKSWAGEN,48500.0
70000,coupE,essence,9,automatique,noir,A5 ,8,AUDI,85000.0
