MERCEDES-BENZ GLA,93000 km,10-2017,13.06.2021,4 x 4,Essence,8 CV,Automatique,Propulsion,Noir,122 000 DT
BMW X6,148000 km,03-2015,13.06.2021,4 x 4,Diesel,16 CV,Automatique,Propulsion,Noir,245 000 DT
SEAT ATECA,1000 km,11-2020,13.06.2021,4 x 4,Diesel,8 CV,Automatique,Traction,Blanc,139 000 DT
MERCEDES-BENZ GLC,47000 km,08-2016,13.06.2021,Berline,Essence,12 CV,Automatique,Traction,Noir,284 000 DT
VOLKSWAGEN GOLF 7,89000 km,07-2015,13.06.2021,Compacte,Essence,6 CV,Manuelle,Traction,Gris argent,63 500 DT
LAND ROVER RANGE ROVER ,95000 km,10-2017,13.06.2021,4 x 4,Diesel,15 CV,Automatique,Propulsion,Gris anthracite,370 000 DT
MERCEDES-BENZ CLS,194000 km,07-2013,13.06.2021,Berline,Diesel,11 CV,Automatique,Propulsion,Blanc,123 900 DT
FIAT 500,21000 km,01-2019,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Bleu,51 500 DT
JEEP CHEROKEE,150000 km,05-2007,13.06.2021,4 x 4,Diesel,15 CV,Automatique,Intégrale,Noir,69 500 DT
AUDI Q3,125000 km,06-2017,13.06.2021,4 x 4,Essence,8 CV,Automatique,Propulsion,Bleu,98 500 DT
MERCEDES-BENZ CLASSE A,145000 km,02-2013,13.06.2021,Compacte,Essence,6 CV,Manuelle,Traction,Rouge,58 500 DT
HYUNDAI H-1,84000 km,07-2017,13.06.2021,Pick up,Diesel,8 CV,Manuelle,Propulsion,Noir,69 000 DT
VOLKSWAGEN PASSAT CC,120000 km,08-2011,13.06.2021,Berline,Essence,8 CV,Automatique,Traction,Blanc,46 000 DT
FORD RANGER,125000 km,04-2016,13.06.2021,4 x 4,Diesel,20 CV,Manuelle,Propulsion,Gris anthracite,128 000 DT
MG HS,0 km,11-2020,13.06.2021,4 x 4,Essence,15 CV,Automatique,Propulsion,Noir,139 800 DT
MERCEDES-BENZ CLASSE A,155000 km,02-2014,13.06.2021,Berline,Essence,6 CV,Automatique,Traction,Noir,71 000 DT
PORSCHE CAYENNE,198000 km,12-2012,13.06.2021,4 x 4,Diesel,16 CV,Automatique,Propulsion,Blanc,163 000 DT
LAND ROVER RANGE ROVER ,155000 km,01-2011,13.06.2021,4 x 4,Diesel,16 CV,Automatique,Propulsion,Blanc,149 000 DT
PORSCHE CAYENNE,92000 km,08-2015,13.06.2021,4 x 4,Essence,21 CV,Automatique,Propulsion,Noir,296 000 DT
BMW SÉRIE 5,137000 km,08-2011,13.06.2021,Utilitaire,Diesel,19 CV,Automatique,Traction,Beige,115 000 DT
MG 6,0 km,08-2020,13.06.2021,Berline,Essence,9 CV,Automatique,Traction,Rouge,93 950 DT
WALLYSCAR IRIS,29000 km,02-2019,13.06.2021,4 x 4,Essence,5 CV,Manuelle,Traction,Gris Shark,39 500 DT
BMW SÉRIE 3,148000 km,10-2015,13.06.2021,Berline,Essence,7 CV,Automatique,Propulsion,Blanc,74 500 DT
MERCEDES-BENZ CLASSE C,175000 km,08-2010,13.06.2021,Berline,Essence,9 CV,Automatique,Propulsion,Blanc,58 000 DT
MERCEDES-BENZ CLASSE C,138000 km,06-2014,13.06.2021,Berline,Essence,10 CV,Automatique,Propulsion,Gris anthracite,78 500 DT
MG HS,0 km,06-2021,13.06.2021,4 x 4,Essence,10 CV,Automatique,Propulsion,Bleu,99 950 DT
PEUGEOT 2008,100900 km,01-2018,13.06.2021,4 x 4,Essence,6 CV,Manuelle,Traction,Blanc,55 000 DT
VOLKSWAGEN PASSAT,46000 km,01-2016,13.06.2021,Berline,Essence,7 CV,Manuelle,Traction,Noir,65 000 DT
VOLKSWAGEN POLO,132000 km,01-2015,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Noir,29 500 DT
CITROËN C4,147000 km,07-2012,13.06.2021,Compacte,Diesel,6 CV,Manuelle,Traction,Gris anthracite,34 500 DT
KIA RIO,111000 km,05-2014,13.06.2021,Compacte,Essence,5 CV,Manuelle,Traction,Noir,37 000 DT
BMW SÉRIE 5,19000 km,07-2019,13.06.2021,Berline,Essence,10 CV,Automatique,Propulsion,Blanc,219 000 DT
VOLKSWAGEN GOLF 7,89000 km,01-2015,13.06.2021,Berline,Essence,5 CV,Manuelle,Traction,Bleu,59 000 DT
VOLKSWAGEN TOUAREG,165000 km,09-2005,13.06.2021,4 x 4,Diesel,16 CV,Automatique,Traction,Bleu,65 900 DT
VOLKSWAGEN GOLF 5,195000 km,12-2007,13.06.2021,Citadine,Essence,7 CV,Automatique,Traction,Gris argent,29 900 DT
VOLKSWAGEN GOLF 7,130000 km,06-2013,13.06.2021,Citadine,Essence,7 CV,Manuelle,Traction,Blanc,49 900 DT
SEAT LEON,148000 km,05-2014,13.06.2021,Citadine,Essence,6 CV,Automatique,Traction,Gris argent,49 500 DT
FIAT DOBLO,192000 km,08-2014,13.06.2021,Utilitaire,Diesel,5 CV,Manuelle,Traction,Blanc,21 500 DT
CITROËN C4,317000 km,06-2010,13.06.2021,Citadine,Essence,6 CV,Manuelle,Traction,Beige,21 500 DT
SEAT LEON,120000 km,01-2015,13.06.2021,Citadine,Essence,6 CV,Automatique,Traction,Rouge,51 500 DT
MERCEDES-BENZ CLASSE C,212000 km,12-2007,13.06.2021,Berline,Diesel,8 CV,Manuelle,Traction,Gris argent,45 000 DT
